_name_key,name_en,source,external_source_id,source_category,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g
lettuce cos or romaine raw,"Lettuce, cos or romaine, raw",USDA_FDC_FOUNDATION,11251,Vegetables and Vegetable Products,VEGETABLE,17.0,1.24,3.24,0.26
lettuce cos or romaine raw,"Lettuce, cos or romaine, raw",USDA_FDC_SR_LEGACY,11251,Vegetables and Vegetable Products,VEGETABLE,17.0,1.23,3.29,0.3
melons cantaloupe raw,"Melons, cantaloupe, raw",USDA_FDC_FOUNDATION,327198,Fruits and Fruit Juices,FRUIT,34.0,0.82,8.16,0.18
melons cantaloupe raw,"Melons, cantaloupe, raw",USDA_FDC_FOUNDATION,9181,Fruits and Fruit Juices,FRUIT,34.0,0.82,8.16,0.18
melons cantaloupe raw,"Melons, cantaloupe, raw",USDA_FDC_SR_LEGACY,9181,Fruits and Fruit Juices,FRUIT,34.0,0.84,8.16,0.19
melons honeydew raw,"Melons, honeydew, raw",USDA_FDC_FOUNDATION,9184,Fruits and Fruit Juices,FRUIT,32.94,0.53,8.15,0.22
melons honeydew raw,"Melons, honeydew, raw",USDA_FDC_SR_LEGACY,9184,Fruits and Fruit Juices,FRUIT,36.0,0.54,9.09,0.14
milk lowfat fluid 1 milkfat with added vitamin a and vitamin d,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",USDA_FDC_FOUNDATION,322228,Dairy and Egg Products,EGGS,43.0,3.38,5.19,0.95
milk lowfat fluid 1 milkfat with added vitamin a and vitamin d,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",USDA_FDC_FOUNDATION,1082,Dairy and Egg Products,EGGS,43.0,3.38,5.18,0.95
milk lowfat fluid 1 milkfat with added vitamin a and vitamin d,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",USDA_FDC_SR_LEGACY,1082,Dairy and Egg Products,EGGS,42.0,3.37,4.99,0.97
milk nonfat fluid with added vitamin a and vitamin d fat free or skim,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",USDA_FDC_FOUNDATION,322559,Dairy and Egg Products,EGGS,34.0,3.43,4.89,0.08
milk nonfat fluid with added vitamin a and vitamin d fat free or skim,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",USDA_FDC_FOUNDATION,1085,Dairy and Egg Products,EGGS,34.0,3.43,4.92,0.08
milk nonfat fluid with added vitamin a and vitamin d fat free or skim,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",USDA_FDC_SR_LEGACY,1085,Dairy and Egg Products,EGGS,34.0,3.37,4.96,0.08
milk reduced fat fluid 2 milkfat with added vitamin a and vitamin d,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",USDA_FDC_FOUNDATION,321359,Dairy and Egg Products,EGGS,50.0,3.35,4.91,1.9
milk reduced fat fluid 2 milkfat with added vitamin a and vitamin d,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",USDA_FDC_FOUNDATION,1079,Dairy and Egg Products,EGGS,50.0,3.36,4.9,1.9
milk reduced fat fluid 2 milkfat with added vitamin a and vitamin d,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",USDA_FDC_SR_LEGACY,1079,Dairy and Egg Products,EGGS,50.0,3.3,4.8,1.98
milk whole 3 25 milkfat with added vitamin d,"Milk, whole, 3.25% milkfat, with added vitamin D",USDA_FDC_FOUNDATION,322892,Dairy and Egg Products,EGGS,60.0,3.28,4.67,3.2
