name_en,name_ar,aliases,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g,created_by_user_id,source,external_source_id,source_version,is_active,archived_at,_name_key,_source_priority,_invalid_reason,_kept_source,_kept_external_source_id,_kept_name_en
"Soy milk, unsweetened, plain, shelf stable",,,LEGUMES,38.48,3.55,1.29,2.12,,USDA_FDC_FOUNDATION,1750337,2026-04-30,True,,soy milk unsweetened plain shelf stable,1,,USDA_FDC_FOUNDATION,16222,"Soy milk, unsweetened, plain, shelf stable"
"Sugars, granulated",,,SWEETS_SNACKS,385.0,0.0,99.6,0.32,,USDA_FDC_FOUNDATION,334247,2026-04-30,True,,sugars granulated,1,,USDA_FDC_FOUNDATION,19335,"Sugars, granulated"
"Sugars, granulated",,,SWEETS_SNACKS,387.0,0.0,99.98,0.0,,USDA_FDC_SR_LEGACY,19335,2018-04,True,,sugars granulated,3,,USDA_FDC_FOUNDATION,19335,"Sugars, granulated"
"Mustard, prepared, yellow",,,CONDIMENTS,60.0,3.74,5.83,3.34,,USDA_FDC_SR_LEGACY,2046,2018-04,True,,mustard prepared yellow,3,,USDA_FDC_FOUNDATION,2046,"Mustard, prepared, yellow"
"Strawberries, raw",,,FRUIT,31.0,0.64,7.63,0.22,,USDA_FDC_FOUNDATION,327699,2026-04-30,True,,strawberries raw,1,,USDA_FDC_FOUNDATION,2263887,"Strawberries, raw"
"Strawberries, raw",,,FRUIT,31.0,0.64,7.63,0.22,,USDA_FDC_FOUNDATION,747448,2026-04-30,True,,strawberries raw,1,,USDA_FDC_FOUNDATION,2263887,"Strawberries, raw"
"Strawberries, raw",,,FRUIT,32.67,0.64,7.96,0.22,,USDA_FDC_FOUNDATION,9316,2026-04-30,True,,strawberries raw,1,,USDA_FDC_FOUNDATION,2263887,"Strawberries, raw"
"Strawberries, raw",,,FRUIT,32.0,0.67,7.68,0.3,,USDA_FDC_SR_LEGACY,9316,2018-04,True,,strawberries raw,3,,USDA_FDC_FOUNDATION,2263887,"Strawberries, raw"
"Raspberries, raw",,,FRUIT,51.41,1.01,12.9,0.19,,USDA_FDC_FOUNDATION,9302,2026-04-30,True,,raspberries raw,1,,USDA_FDC_FOUNDATION,2263888,"Raspberries, raw"
"Raspberries, raw",,,FRUIT,52.0,1.2,11.94,0.65,,USDA_FDC_SR_LEGACY,9302,2018-04,True,,raspberries raw,3,,USDA_FDC_FOUNDATION,2263888,"Raspberries, raw"
"Blueberries, raw",,,FRUIT,57.38,0.7,14.57,0.31,,USDA_FDC_FOUNDATION,9050,2026-04-30,True,,blueberries raw,1,,USDA_FDC_FOUNDATION,2263889,"Blueberries, raw"
"Blueberries, raw",,,FRUIT,57.0,0.74,14.49,0.33,,USDA_FDC_SR_LEGACY,9050,2018-04,True,,blueberries raw,3,,USDA_FDC_FOUNDATION,2263889,"Blueberries, raw"
