name_en,name_ar,aliases,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g,created_by_user_id,source,external_source_id,source_version,is_active,archived_at,_name_key,_source_priority,_invalid_reason
"Soup, minestrone, canned, reduced sodium, ready-to-serve",,,MIXED_DISHES,50.0,2.0,9.0,0.8,,USDA_FDC_SR_LEGACY,6177,2018-04,True,,soup minestrone canned reduced sodium ready to serve,3,
"Sauce, fish, ready-to-serve",,,MIXED_DISHES,35.0,5.06,3.64,0.01,,USDA_FDC_SR_LEGACY,6179,2018-04,True,,sauce fish ready to serve,3,
"Soup, shark fin, restaurant-prepared",,,MIXED_DISHES,46.0,3.2,3.8,2.0,,USDA_FDC_SR_LEGACY,6180,2018-04,True,,soup shark fin restaurant prepared,3,
"Soup, bean & ham, canned, reduced sodium, prepared with water or ready-to-serve",,,MIXED_DISHES,81.0,4.19,13.66,1.03,,USDA_FDC_SR_LEGACY,6190,2018-04,True,,soup bean ham canned reduced sodium prepared with water or ready to serve,3,
"Split pea soup, canned, reduced sodium, prepared with water or ready-to serve",,,MIXED_DISHES,71.0,3.85,11.83,0.92,,USDA_FDC_SR_LEGACY,6192,2018-04,True,,split pea soup canned reduced sodium prepared with water or ready to serve,3,
"Split pea with ham soup, canned, reduced sodium, prepared with water or ready-to-serve",,,MIXED_DISHES,68.0,4.0,11.4,0.7,,USDA_FDC_SR_LEGACY,6193,2018-04,True,,split pea with ham soup canned reduced sodium prepared with water or ready to serve,3,
"Soup, chicken broth, ready-to-serve",,,MIXED_DISHES,6.0,0.64,0.44,0.21,,USDA_FDC_SR_LEGACY,6194,2018-04,True,,soup chicken broth ready to serve,3,
"Soup, cream of chicken, canned, prepared with equal volume milk",,,MIXED_DISHES,77.0,3.01,6.04,4.62,,USDA_FDC_SR_LEGACY,6216,2018-04,True,,soup cream of chicken canned prepared with equal volume milk,3,
"Soup, vegetable, canned, low sodium, condensed",,,MIXED_DISHES,65.0,2.2,12.11,0.9,,USDA_FDC_SR_LEGACY,6217,2018-04,True,,soup vegetable canned low sodium condensed,3,
"Soup, clam chowder, new england, canned, prepared with equal volume low fat (2%) milk",,,MIXED_DISHES,61.0,3.24,7.46,2.02,,USDA_FDC_SR_LEGACY,6230,2018-04,True,,soup clam chowder new england canned prepared with equal volume low fat 2 milk,3,
"Soup, cream of mushroom, canned, prepared with equal volume low fat (2%) milk",,,MIXED_DISHES,65.0,2.36,5.76,3.58,,USDA_FDC_SR_LEGACY,6243,2018-04,True,,soup cream of mushroom canned prepared with equal volume low fat 2 milk,3,
"Soup, cream of onion, canned, prepared with equal volume milk",,,MIXED_DISHES,75.0,2.74,7.4,3.78,,USDA_FDC_SR_LEGACY,6246,2018-04,True,,soup cream of onion canned prepared with equal volume milk,3,
"Sauce, white, thin, prepared-from-recipe, with butter",,,MIXED_DISHES,72.0,3.95,8.29,2.56,,USDA_FDC_SR_LEGACY,6264,2018-04,True,,sauce white thin prepared from recipe with butter,3,
"Sauce, sweet and sour, prepared-from-recipe",,,MIXED_DISHES,79.0,1.84,16.72,0.58,,USDA_FDC_SR_LEGACY,6285,2018-04,True,,sauce sweet and sour prepared from recipe,3,
"Sauce, barbecue, KRAFT, original",,,MIXED_DISHES,172.0,0.74,40.77,0.62,,USDA_FDC_SR_LEGACY,6307,2018-04,True,,sauce barbecue kraft original,3,
"Soup, HEALTHY CHOICE Chicken Noodle Soup, canned",,,MIXED_DISHES,41.0,3.69,5.2,0.63,,USDA_FDC_SR_LEGACY,6314,2018-04,True,,soup healthy choice chicken noodle soup canned,3,
"Soup, tomato, canned, prepared with equal volume low fat (2%) milk",,,MIXED_DISHES,55.0,2.42,9.82,1.24,,USDA_FDC_SR_LEGACY,6359,2018-04,True,,soup tomato canned prepared with equal volume low fat 2 milk,3,
"CAMPBELL'S, Tomato Soup, condensed",,,MIXED_DISHES,71.0,1.46,15.22,0.44,,USDA_FDC_SR_LEGACY,6377,2018-04,True,,campbell s tomato soup condensed,3,
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",,,MIXED_DISHES,47.0,3.41,5.41,1.3,,USDA_FDC_SR_LEGACY,6395,2018-04,True,,campbell s chunky classic chicken noodle soup,3,
"Soup, cream of asparagus, canned, prepared with equal volume water",,,MIXED_DISHES,35.0,0.94,4.38,1.68,,USDA_FDC_SR_LEGACY,6401,2018-04,True,,soup cream of asparagus canned prepared with equal volume water,3,
