name_en,name_ar,aliases,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g,created_by_user_id,source,external_source_id,source_version,is_active,archived_at
"Beverages, Cocoa mix, low calorie, powder, with added calcium, phosphorus, aspartame, without added sodium or vitamin A",,,BEVERAGES,359.0,25.1,58.0,3.0,,USDA_FDC_SR_LEGACY,14538,2018-04,True,
"Beverages, Cocoa mix, no sugar added, powder",,,BEVERAGES,377.0,15.49,71.93,3.0,,USDA_FDC_SR_LEGACY,14196,2018-04,True,
"Beverages, Cocoa mix, powder",,,BEVERAGES,398.0,6.67,83.73,4.0,,USDA_FDC_SR_LEGACY,14192,2018-04,True,
"Beverages, Cocoa mix, powder, prepared with water",,,BEVERAGES,55.0,0.92,11.54,0.55,,USDA_FDC_SR_LEGACY,14194,2018-04,True,
"Beverages, Coconut water, ready-to-drink, unsweetened",,,BEVERAGES,18.0,0.22,4.24,0.0,,USDA_FDC_SR_LEGACY,14090,2018-04,True,
"Beverages, Cranberry juice cocktail",,,BEVERAGES,52.0,0.0,12.25,0.34,,USDA_FDC_SR_LEGACY,14284,2018-04,True,
"Beverages, DANNON, water, bottled, non-carbonated, with Fluoride",,,BEVERAGES,0.0,0.0,0.03,0.0,,USDA_FDC_SR_LEGACY,14440,2018-04,True,
"Beverages, Dairy drink mix, chocolate, reduced calorie, with low-calorie sweeteners, powder",,,BEVERAGES,329.0,25.0,51.4,2.6,,USDA_FDC_SR_LEGACY,14422,2018-04,True,
"Beverages, Eggnog-flavor mix, powder, prepared with whole milk",,,BEVERAGES,95.0,2.93,14.2,3.02,,USDA_FDC_SR_LEGACY,14245,2018-04,True,
"Beverages, Energy Drink with carbonated water and high fructose corn syrup",,,BEVERAGES,62.0,0.42,15.0,0.0,,USDA_FDC_SR_LEGACY,14060,2018-04,True,
"Beverages, Energy Drink, Monster, fortified with vitamins C, B2, B3, B6, B12",,,BEVERAGES,47.0,0.47,11.28,0.0,,USDA_FDC_SR_LEGACY,14627,2018-04,True,
"Beverages, Energy Drink, sugar free",,,BEVERAGES,4.0,0.42,0.42,0.0,,USDA_FDC_SR_LEGACY,14061,2018-04,True,
"Beverages, Energy drink, AMP",,,BEVERAGES,46.0,0.25,12.08,0.08,,USDA_FDC_SR_LEGACY,14625,2018-04,True,
"Beverages, Energy drink, AMP, sugar free",,,BEVERAGES,2.0,0.0,1.03,0.0,,USDA_FDC_SR_LEGACY,14628,2018-04,True,
"Beverages, Energy drink, Citrus",,,BEVERAGES,45.0,0.0,11.27,0.0,,USDA_FDC_SR_LEGACY,14021,2018-04,True,
"Beverages, Energy drink, FULL THROTTLE",,,BEVERAGES,46.0,0.25,12.08,0.08,,USDA_FDC_SR_LEGACY,14626,2018-04,True,
"Beverages, Energy drink, RED BULL",,,BEVERAGES,43.0,0.46,10.23,0.0,,USDA_FDC_SR_LEGACY,14154,2018-04,True,
"Beverages, Energy drink, RED BULL, sugar free, with added caffeine, niacin, pantothenic acid, vitamins B6 and B12",,,BEVERAGES,5.0,0.25,0.7,0.08,,USDA_FDC_SR_LEGACY,14156,2018-04,True,
"Beverages, Energy drink, ROCKSTAR",,,BEVERAGES,58.0,0.34,12.7,0.22,,USDA_FDC_SR_LEGACY,14629,2018-04,True,
"Beverages, Energy drink, ROCKSTAR, sugar free",,,BEVERAGES,4.0,0.25,0.7,0.08,,USDA_FDC_SR_LEGACY,14630,2018-04,True,
"Beverages, Energy drink, VAULT Zero, sugar-free, citrus flavor",,,BEVERAGES,1.0,0.25,0.7,0.08,,USDA_FDC_SR_LEGACY,14641,2018-04,True,
"Beverages, Energy drink, VAULT, citrus flavor",,,BEVERAGES,49.0,0.0,12.99,0.0,,USDA_FDC_SR_LEGACY,14640,2018-04,True,
"Beverages, FUZE, orange mango, fortified with vitamins A, C, E, B6",,,BEVERAGES,38.0,0.68,9.2,0.06,,USDA_FDC_SR_LEGACY,14048,2018-04,True,
